index,lr,weight_decay,epochs,threshold,device,verbose,early_stopping,early_stopping_thresold,criterion,hidden_layer_K,hidden_layer_L,reproducible,mse,mae,rmse,r2,
153,0.001,1e-05,500,None,cpu,False,False,0.5,MSELoss(),32,2,True,19.77951669692993,3.560599684715271,4.3228389620780945,-51.67522919178009,
154,0.001,1e-05,500,None,cpu,False,False,0.5,MSELoss(),64,1,True,11.367542207241058,2.493960291147232,3.2778774201869965,-29.230626791715622,
155,0.001,1e-05,500,None,cpu,False,False,0.5,MSELoss(),64,2,True,22.703596353530884,4.0640013217926025,4.574124038219452,-9.272788524627686,
156,0.001,1e-05,1500,None,cpu,False,True,0.5,MSELoss(),16,1,True,24.39723026752472,3.8110901713371277,4.516150414943695,-9.87924337387085,
157,0.001,1e-05,1500,None,cpu,False,True,0.5,MSELoss(),16,2,True,15.521673679351807,3.2958818674087524,3.9309202432632446,-19.087560653686523,
158,0.001,1e-05,1500,None,cpu,False,True,0.5,MSELoss(),32,1,True,16.834474086761475,3.2497061491012573,4.032046556472778,-23.17359608411789,
159,0.001,1e-05,1500,None,cpu,False,True,0.5,MSELoss(),32,2,True,17.64257049560547,3.5022992491722107,4.0289722084999084,-47.39708739519119,
160,0.001,1e-05,1500,None,cpu,False,True,0.5,MSELoss(),64,1,True,10.672644197940826,2.489492744207382,3.1312805712223053,-40.171730279922485,
161,0.001,1e-05,1500,None,cpu,False,True,0.5,MSELoss(),64,2,True,17.871716499328613,3.669622778892517,4.102571725845337,-18.139291048049927,
162,0.001,1e-05,1500,None,cpu,False,False,0.5,MSELoss(),16,1,True,21.755122900009155,3.553641200065613,4.370784401893616,-8.484495878219604,
163,0.001,1e-05,1500,None,cpu,False,False,0.5,MSELoss(),16,2,True,16.182039260864258,3.2547560334205627,4.007944822311401,-1827.0518489181995,
164,0.001,1e-05,1500,None,cpu,False,False,0.5,MSELoss(),32,1,True,16.611823558807373,3.233124792575836,4.008160889148712,-97.84712624549866,
165,0.001,1e-05,1500,None,cpu,False,False,0.5,MSELoss(),32,2,True,18.60438060760498,3.6167461276054382,4.195584237575531,-58.8814080953598,
166,0.001,1e-05,1500,None,cpu,False,False,0.5,MSELoss(),64,1,True,11.408287823200226,2.512108474969864,3.2754346430301666,-31.371017515659332,
167,0.001,1e-05,1500,None,cpu,False,False,0.5,MSELoss(),64,2,True,22.872804641723633,4.0175477266311646,4.541769921779633,-11.306186556816101,
168,0.001,0.0001,500,None,cpu,False,True,0.5,MSELoss(),16,1,True,23.409400939941406,3.6827064156532288,4.354019820690155,-8.820182085037231,
169,0.001,0.0001,500,None,cpu,False,True,0.5,MSELoss(),16,2,True,15.455597400665283,3.285315752029419,3.923479735851288,-18.068856716156006,
170,0.001,0.0001,500,None,cpu,False,True,0.5,MSELoss(),32,1,True,16.760210156440735,3.2096309661865234,3.956438660621643,-21.659995317459106,
171,0.001,0.0001,500,None,cpu,False,True,0.5,MSELoss(),32,2,True,18.095298051834106,3.5324937105178833,4.0907299518585205,-61.136992782354355,
172,0.001,0.0001,500,None,cpu,False,True,0.5,MSELoss(),64,1,True,11.517585158348083,2.761717766523361,3.2273233830928802,-74.60638010501862,
173,0.001,0.0001,500,None,cpu,False,True,0.5,MSELoss(),64,2,True,17.23852515220642,3.629188060760498,4.04645961523056,-12.12764859199524,
